InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
10001,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2024-01-01 10:00,2.55,17850,UK
10002,71053,WHITE METAL LANTERN,6,2024-01-01 11:00,3.39,17850,UK
10003,84406B,CREAM CUPID HEARTS COAT HANGER,8,2024-01-02 09:30,2.75,13047,UK
10004,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2024-01-02 10:15,3.39,13047,UK
10005,22752,SET 7 BABUSHKA NESTING BOXES,2,2024-01-03 12:00,7.65,12583,France
10006,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2024-01-03 13:00,4.25,12583,France
10007,22633,HAND WARMER UNION JACK,6,2024-01-04 14:00,1.85,14911,Germany
10008,22632,HAND WARMER RED POLKA DOT,6,2024-01-04 15:00,1.85,14911,Germany
10009,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2024-01-05 16:00,1.69,17850,UK
10010,22423,REGENCY CAKESTAND 3 TIER,1,2024-01-06 17:00,12.75,13047,UK
10011,47566,PARTY BUNTING,3,2024-01-07 11:00,4.95,12583,France
10012,20725,LUNCH BAG RED RETROSPOT,5,2024-01-08 12:00,1.65,14911,Germany
10013,22720,SET OF 3 CAKE TINS PANTRY DESIGN,2,2024-01-09 13:00,4.95,17850,UK
10014,22960,JAM MAKING SET WITH JARS,3,2024-01-10 14:00,4.25,13047,UK
10015,22386,JUMBO BAG PINK POLKADOT,4,2024-01-11 15:00,1.95,12583,France
